"Number","Gender","NameSet","Title","GivenName","MiddleInitial","Surname","AmountPaid","StreetAddress","City","State","StateFull","ZipCode","Country","CountryFull","Feedback","EmailAddress","Username","TelephoneNumber","TelephoneCountryCode","MothersMaiden","Birthday","TropicalZodiac","CCType","CCNumber","CVV2","CCExpires","Color","Occupation","Company","Vehicle","Domain","BloodType","Pounds","Kilograms","FeetInches","Centimeters","Password","BrowserUserAgent","NationalID","UPS","WesternUnionMTCN","MoneyGramMTCN","GUID","Latitude","Longitude","Coluna 46"
"22176","female","Scottish","Mrs.","Maisie","C","Wallace","96326.29","1122 Derby Ave","Tembisa","GA","Gauteng","1688","ZA","South Africa","I am so happy I found this company"," they saved me so much time!","MaisieWallace@rhyta.com","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36","083 771 1435","27","Campbell","10/1/1991","Libra","Visa","4929046331936594","499","70971335","Blue","Assignment clerk","The Flying Hippo ","2010 Acura TSX","RoboAge.co.za","A-","159.1","72.3","5' 5"","","","1/2019","","1Z 738 679 49 6414 271 1","1230458444","165","ec0c68ac-c33d-48a7-a186-2455637ffdb1","-26.007912","28.244.149"
"33120","","","","","","","43764.21","112 Gemsbok St","Pietersburg","LI","Limpopo","0743","ZA","South Africa","","JoelHolloway@rhyta.com","Whaturand1990","083 496 3541","27","Holland","5/19/1990","Taurus","MasterCard","5381021644441242","067","12/2020","Orange","DEA agent","Gart Sports","2012 Rolls-Royce Phantom Drophead Coupe","MysteryRebates.co.za","A+","223.1","101.4","6' 2"","187","","","","1Z 043 064 60 3336 620 8","8185658659","73299921","248701e7-1022-4738-b28e-0df5f096e235","-23.853099","29.207045",""
"33121","","","","","","","48958.96","41 Uitsig St","Grahamstown","EC","Eastern Cape","6145","ZA","South Africa","Every time we remember to say thank you, we experience nothing less than heaven on earth.","FengLin@einrot.com","Hascrupor","084 795 6455","27","Ts'ai","12/14/1983","Sagittarius","Visa","4485323909181804","625","8/2019","Red","Employee welfare manager","Prestigabiz","2011 BMW 530","DeliveryTax.co.za","A+","248.8","113.1","6' 1"","185","","","","1Z 092 4V9 48 3714 068 8","5188241321","00820093","1025e75c-812d-4636-94f5-2766cfc59485","-33.332775","26.512762",""
"35001","female","Russian","Ms.","Carolina","V","Koltsova","54435.70","1958 Sandown Rd","Vredendal","WC","Western Cape","8207","ZA","South Africa","Thank you!,CarolinaKoltsova@superrito.com,Cumfornot67,phoo1ooVah,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML"," like Gecko) Chrome/43.0.2357.130 Safari/537.36"","084 956 3986","2/16/1967","Aquarius","MasterCard","5213205929991179","261","12/2017","","1Z 262 728 13 4688 032 7","5482693375","1992 Chrysler Daytona","DeveloperU.co.za","O+","183.5","83.4","5' 0"","153","5830bbcb-aa0d-41e4-8531-aa6feb540bdb","-31.621286","18.425122","","","22348196","Green","Personnel administrator","Sound Advice","","","",""
"40480","","","","","","","","","","","","","","","Thank you","MaximilianKotov@cuvox.de","Crummon","082 836 8482","27","","8/12/1979","Leo","Visa","4556043819486077","093","4/2019","Green","Dairy scientist","Service Merchandise","2010 Opel Zafira","SiliconFinder.co.za","B+","184.1","83.7","6' 0"","184","","","","1Z 639 559 61 2885 822 2","9488616208","90518786","b272df63-20d9-4063-9357-bb8dc7ef36d5","-30.765346","26.737462",""
"40481","","","","","","","","","","","","","","","","MikayoNishino@jourrapide.com","Sithe1972","083 266 6919","27","Imano","9/8/1972","Virgo","Visa","4716159238554100","605","5/2019","Blue","Rural mail carrier","J. Riggings","2006 Ford Maverick","LockMovie.co.za","A+","204.2","92.8","5' 5"","166","","","","1Z 154 8V2 58 4633 397 7","2686293856","23616635","5f959afe-c4a5-4baf-aecd-1f04667f86dc","-25.704114","28.130295",""
"40482","","","","","","","","","","","","","","","","DavidLeonard@rhyta.com","Dituals1986","082 950 2753","27","Bennett","1/28/1986","Aquarius","Visa","4916965617614564","405","11/2016","Green","Electronic home entertainment equipment installer","Sun Television and Appliances","2007 Suzuki Grand Vitara","RecruitSuit.co.za","A+","243.3","110.6","5' 11"","180","","","","1Z 2Y4 779 10 5779 072 0","8909604279","32414405","e31f17d1-0a65-4736-9fe4-cbe1890af114","-26.248024","28.054549",""
"40483","","","","","","","","","","","","","","","","AmanuelSimon@rhyta.com","Crioul","082 716 3936","27","Neftalem","10/27/1976","Scorpio","MasterCard","5198752290032645","811","2/2019","Red","Nurse educator","Endicott Johnson","1995 Mitsubishi Space Wagon","RebateDates.co.za","O+","229.7","104.4","5' 11"","180","","","","1Z 215 08W 84 6345 102 0","6837285268","85650668","46930092-9b86-438e-95fc-c6e1b1d7c95a","-25.79857","28.260573",""
"40484","","","","","","","","","","","","","","","","ChijindumObioma@armyspy.com","Inhat1956","083 169 5695","27","Onyeorulu","8/1/1956","Leo","Visa","4532400527468103","335","3/2017","Blue","Training and development coordinator","Reliable Investments","1993 Jeep Cherokee","DependableToys.co.za","B+","125.2","56.9","5' 8"","172","","","","1Z 511 A13 20 2427 197 1","8210202520","52389991","1349feeb-845d-48bb-8c41-7f59eac17c92","-25.470094","30.912547",""
"40485","","","","","","","","","","","","","","","The six most important words: I admit I made a mistake. The five most important words: You did a good job. The four most important words: What is YOUR opinion? The three most important words: If you please. The two most important words: Thank You. The one most important word: We. The least important word: I.","AlbinoDeRose@fleckens.hu","Fuldebou","082 953 5581","27","Trentino","5/20/1984","Taurus","Visa","4532319767392957","756","6/2020","Blue","Network administrator","Reliable Garden Management","2011 Honda CR-V","Massdamage.co.za","O+","156.0","70.9","6' 0"","183","","","","1Z 5F3 6V8 58 4815 150 6","0021413140","09468293","92975148-8e9c-4531-9680-e99d27e86f1e","-25.938557","28.156191",""
"40486","","","","","","","","","","","","","","","Thank you so much!","ShaneHughes@dayrep.com","Hend1983","082 921 5126","27","Johnston","1/4/1983","Capricorn","MasterCard","5294176668877444","704","8/2019","Black","Job training specialist","Sky High Financial Advice","1996 Kia Retona","BloggingLounge.co.za","B+","206.1","93.7","5' 11"","181","","","","1Z 628 198 11 4039 995 8","0817757323","37091301","a3374dbc-66fe-43c4-bcc3-54f6f5c0a178","-34.133067","22.065753",""
"40487","","","","","","","","","","","","","","","","AlexanderRydge@einrot.com","Whinty","085 568 5898","27","Theodore","2/26/1983","Pisces","Visa","4929647615786074","886","12/2019","Blue","Photojournalist","Formula Grey","1993 Renault Express","FlyingEnthusiast.co.za","B+","182.2","82.8","5' 8"","173","","","","1Z 502 83A 92 7183 219 0","5356124197","70782523","b4c970ea-ff4e-422a-a628-277903ae3572","-31.812867","28.687916",""
"40488","","","","","","","","","","","","","","","Will recommend to my friends","KosisochukwuObiora@jourrapide.com","Onighortare","083 498 4818","27","Nwokike","7/20/1952","Cancer","MasterCard","5170946628668300","504","10/2017","Green","Welding machine setter","Schaak Electronics","2001 Audi AL2","TicketWireless.co.za","B+","123.6","56.2","5' 5"","165","","","","1Z A88 402 15 8089 715 1","1854384117","19660414","e63a4516-dcb5-4b60-b457-c7e1d2c582a9","-27.126973","24.573168",""
"40489","","","","","","","","","","","","","","","","GeorgeDKarnes@superrito.com","Dince1951","083 818 5109","27","Gould","10/10/1951","Libra","MasterCard","5215507050570237","712","3/2020","Silver","Data typist","Gart Sports","2011 Fiat Strada","ReportZoo.co.za","B-","161.3","73.3","5' 6"","167","","","","1Z 166 279 81 5371 963 8","6527704540","12578651","5d56a708-ca79-46dd-9da5-2633e25cc831","-26.139623","28.232473",""
"40490","","","","","","","","","","","","","","","","AsmeretPetros@dayrep.com","Randiall","085 955 8016","27","Saare","3/9/1950","Pisces","MasterCard","5346533614923110","501","2/2020","Purple","IT manager","Gottschalks","2006 Opel Tigra","CablingSupply.co.za","B-","208.6","94.8","5' 5"","165","","","","1Z 7Y0 E46 01 3767 972 4","7791649643","14393257","e8bdad60-d2c0-4f1a-a3d5-7e1c45297a1e","-33.894529","18.464894",""
"40491","","","","","","","","","","","","","","","","LachlanEdman@fleckens.hu","Texplass","085 374 1713","27","Hennings","7/14/1961","Cancer","MasterCard","5549812814929035","268","12/2018","Blue","Chemical equipment operator","Oranges Records & Tapes","2004 Nissan Armada","InnovativeMovie.co.za","AB+","223.3","101.5","5' 10"","179","","","","1Z 747 12A 78 1164 155 7","6166052566","49338852","abe16f8e-5e4b-4ce7-917a-d71a00bc423f","-26.676814","27.897083",""
"40492","","","","","","","","","","","","","","","","JadeFalconer@cuvox.de","Elly1973","085 823 0117","27","Verjus","11/11/1973","Scorpio","Visa","4485426895228040","160","6/2017","Blue","Therapeutic recreation specialist","Purity Supreme","2005 Lexus IS","OrganBlog.co.za","O+","215.8","98.1","5' 1"","154","","","","1Z 09F 743 37 4115 540 2","8946423921","73699260","9721088c-af18-4d91-88d1-e73527d8f003","-26.713172","28.025665",""
"40493","","","","","","","","","","","","","","","","OmeokachieChijioke@dayrep.com","Thattely","085 175 5204","27","Oluchi","5/24/1953","Gemini","Visa","4916087411570551","720","12/2017","Blue","Paleontologist","Elek-Tek","1998 Mercedes-Benz CLK","CanineTags.co.za","O-","244.0","110.9","5' 7"","169","","","","1Z 7V7 93E 82 7935 762 3","2472183583","93678433","2a9834e7-f97e-4fe5-8b83-6c5765a44c77","-24.706995","28.342355",""
"40494","","","","","","","","","","","","","","","","FuyukiAkiyama@teleworm.us","Farinell","083 270 0876","27","Nakamura","3/11/1987","Pisces","MasterCard","5154518195843846","395","9/2017","Blue","Game warden","Little Folk Shops","2002 Ginetta G40","GotFiction.co.za","A+","175.8","79.9","5' 7"","170","","","","1Z 990 155 23 0316 964 7","4655998139","65260988","a3800724-39b0-4599-9ac7-2df3741d67e5","-31.740067","28.257764",""
"40495","","","","","","","","","","","","","","","","ChinonyelumZikoranachidimma@armyspy.com","Yall1967","085 496 6400","27","Chukwuemeka","5/22/1967","Gemini","Visa","4532602697913236","647","1/2016","Green","Material recording","Club Wholesale","2004 Hummer H2","TripDoors.co.za","A+","112.2","51.0","5' 1"","154","","","","1Z 491 18F 47 8746 789 4","6182685792","61784175","c4cb4d2a-cc2f-4086-8b79-32c5badb832f","-25.766966","28.263569",""
"40496","","","","","","","","","","","","","","","","SarahJohnson@cuvox.de","Alwat1950","084 391 0430","27","Nash","8/2/1950","Leo","MasterCard","5317820319665517","624","8/2020","Blue","Tour bus driver","Champion Auto","2004 Ford Fiesta","PopCommunication.co.za","B+","181.1","82.3","5' 0"","152","","","","1Z E19 462 63 4524 809 7","6450718636","40110089","ea3f4fb5-f45f-43f3-a601-6abbaeb1052e","-26.386069","27.433225",""
"40497","","","","","","","","","","","","","","","","AmyMoran@jourrapide.com","Havock","082 395 0426","27","Barnes","5/6/1952","Taurus","Visa","4916321306118469","930","6/2017","Purple","Rail-track laying and maintenance equipment operator","Afforda","2007 Chrysler PT Cruiser","FurnitureQuarters.co.za","A+","213.6","97.1","5' 6"","167","","","","1Z A20 044 24 2460 610 6","5106719890","96225745","10f1f57d-2725-41aa-a9e3-d8a442ecde09","-33.163214","18.654228",""
"40498","","","","","","","","","","","","","","","","CharlieAustin@armyspy.com","Hisis1978","084 837 9024","27","Sullivan","2/6/1978","Aquarius","MasterCard","5245763942992675","472","5/2018","Green","Ecologist","Purity Supreme","2006 Mazda B2300","ToyFunds.co.za","A+","141.2","64.2","5' 6"","168","","","","1Z 213 19W 27 1399 459 1","5672127567","19147299","45c2b66e-4f5e-4cd7-8bbc-704895e1d49a","-25.76143","27.158631",""
"40499","","","","","","","","","","","","","","","","SiennaNorton@dayrep.com","Attims","084 950 3377","27","Wheeler","5/12/1993","Taurus","MasterCard","5534166645343784","602","1/2018","Green","Maintenance and repair worker","Price Savers","2011 Dodge Journey","ResidenceRelocation.co.za","A+","121.7","55.3","5' 5"","166","","","","1Z 285 875 41 2957 695 1","1100693228","28076946","ee1ac454-4c9a-447c-8224-d6da75125c33","-25.593135","27.689733",""
"40500","","","","","","","","","","","","","","","","UdegbulamChinonyelum@superrito.com","Bumeaung","083 967 8543","27","Dike","6/18/1965","Gemini","Visa","4929087747324132","432","9/2020","Orange","Internet developer","National Record Mart","2008 Volkswagen Touran","PeaceExpo.co.za","A-","241.3","109.7","5' 11"","180","","","","1Z 0E8 395 26 2090 089 6","9078011000","94034999","3c380d1e-f1a5-4eda-81d3-9195b7bfb38d","-28.867725","31.940755",""
"40501","","","","","","","","","","","","","","","The depth and the willingness with which we serve is a direct reflection of our gratitude.","KenechiChikelu@dayrep.com","Sherverty","085 605 6182","27","Kamdibe","7/14/1966","Cancer","Visa","4532081403874455","469","8/2020","Blue","Condominium association manager","Super Duper","2003 Mercedes-Benz V","PrizeRating.co.za","A+","230.3","104.7","5' 7"","169","","","","1Z 417 304 34 7774 821 7","8665031273","64379202","8e6930a1-8cad-4a24-9e31-028aa560364f","-25.591725","28.29002",""
"40502","","","","","","","","","","","","","","","Thankfulness is the beginning of gratitude.Gratitude is the completion of thankfulness. Thankfulness may consist merely of words. Gratitude is shown in acts.","AbrhaFethawi@armyspy.com","Hiscre","082 488 7680","27","Russom","1/7/1988","Capricorn","MasterCard","5230308417300397","586","10/2020","Blue","Human resources associate","Gamma Realty","1999 Beijing BJ 2020","GardeningInsurance.co.za","A+","234.3","106.5","5' 9"","174","","","","1Z 8F3 991 30 3364 572 9","6902876496","51243380","abf96b58-b1db-4106-8d56-5928c14c51ef","-30.573903","24.049433",""
"40503","","","","","","","","","","","","","","","","MebratNeftalem@cuvox.de","Saistopen","083 480 2853","27","Kinfe","10/9/1986","Libra","MasterCard","5362088708363334","775","11/2019","Orange","Finance manager","Avant Garde Interior Designs","2014 Volkswagen Jetta SportWagen","LuxuryCouple.co.za","O+","205.5","93.4","5' 6"","167","","","","1Z F20 324 45 2323 648 8","9579266109","51405278","42329dcc-061f-4730-99e6-bb46418af67b","-31.185752","28.82637",""
"40548","","","","","","","","","","","","","","","","","","085 645 6136","27","Enomoto","9/22/1952","Virgo","MasterCard","5525004383924153","982","3/2020","Blue","Building consultant","Coffey's Market","1998 Rolls-Royce Silver Seraph","CheapButchers.co.za","A-","182.4","82.9","6' 0"","183","","","","1Z 4A8 633 48 4684 148 9","0795290404","67958737","56dff211-3106-4436-9dbd-32b3ca67c445","-23.219252","30.806968",""
"40549","","","","","","","","","","","","","","","","","","082 282 6148","27","","10/19/1978","Libra","Visa","4716261543419670","640","5/2017","Blue","Media planner","Jackhammer Technologies","2010 Mercedes-Benz S","PopularPlayers.co.za","O+","225.3","102.4","5' 2"","158","","","","1Z 4W2 702 92 2821 724 5","9528213734","57589336","77f294b9-d864-423b-88fa-dc14e998418f","-24.691049","31.129908",""
"40550","","","","","","","","","","","","","","","","","","084 606 1135","27","Yonas","5/17/1980","Taurus","MasterCard","5292314385804712","508","7/2017","Blue","Textile, apparel, and furnishings occupation","Market Basket","2005 Chrysler Pacifica","DebtDegrees.co.za","O+","219.6","99.8","5' 10"","179","","","","1Z 050 848 28 0043 110 4","4241787795","92521695","062347d0-b65d-490b-a251-b8cc9099de49","-26.137346","28.022353",""
"40551","","","","","","","","","","","","","","","","","","082 231 1645","27","Gibson","1/14/1984","Capricorn","Visa","4716108707327118","364","8/2017","Blue","Nursing aide","Wholesale Club, Inc.","2011 Ford Fusion","ImDemand.co.za","O-","203.7","92.6","5' 5"","165","","","","1Z 335 847 02 1453 264 4","8882649070","37465539","7991ac15-515c-49d2-8e4f-a5dd6b73730f","-31.789098","27.268551",""
"40552","","","","","","","","","","","","","","","","","","084 792 0702","27","Kolios","6/7/1951","Gemini","MasterCard","5213903761015111","575","7/2017","Black","Public relations consultant","Home Quarters Warehouse","1995 Mazda Midge","JokeSolver.co.za","O+","157.1","71.4","5' 9"","175","","","","1Z 634 000 22 1782 457 1","0422647739","84152391","d268ce48-da2a-4903-92df-cfe4e8296228","-29.717533","17.9531",""
"40553","","","","","","","","","","","","","","","","","","084 259 2732","27","Ishikawa","6/8/1959","Gemini","MasterCard","5598151716930951","808","4/2020","Blue","Escort interpreter","Earthworks Yard Maintenance","2005 Ferrari F430","InspiredFan.co.za","A+","151.1","68.7","5' 9"","176","","","","1Z 144 7V2 95 4016 887 0","5384403183","08732925","d74bf62a-42e8-4efc-b3b6-6d06aca17e36","-31.495005","28.692292",""
"40554","","","","","","","","","","","","","","","","","","083 438 5207","27","Sun","4/2/1957","Aries","Visa","4929958666688428","884","3/2016","Blue","Realtor","Road Runner Lawn Services","2008 Mercedes-Benz C","HipsReplacement.co.za","A+","239.4","108.8","6' 2"","187","","","","1Z 44A Y86 92 2593 784 7","8189115277","19124893","5cc6afb1-e7a9-4d68-b522-4b4d3553ab86","-25.489139","30.878275",""
"40555","","","","","","","","","","","","","","","","","","085 302 5676","27","Pisani","4/5/1956","Aries","Visa","4916237079267418","608","11/2018","Blue","University dean","Murray's Discount Auto Stores","2005 Renault Grand Espace","CondoTip.co.za","B+","154.7","70.3","5' 3"","160","","","","1Z 524 934 75 2066 919 6","6322767785","21861814","251d1f97-4e45-4b38-9a64-a0f49533f54c","-33.067134","27.889238",""
"40556","","","","","","","","","","","","","","","","","","085 773 1219","27","Nwankwo","1/7/1976","Capricorn","Visa","4485084388400277","401","8/2016","Blue","Electronic masking system operator","Littler's","2011 Seat Ibiza","BrokerYou.co.za","O+","216.0","98.2","5' 4"","162","","","","1Z W63 023 16 0105 192 6","5289667891","65989496","8a9f7e29-f459-4fc0-8331-e4ac8baa7243","-26.303207","28.333617",""
"40557","","","","","","","","","","","","","","","","","","084 651 5025","27","Ugoji","2/18/1961","Aquarius","MasterCard","5265391992046559","983","6/2020","Orange","Veterinarian","Warshal's","2003 Honda Integra","FastFoodSupply.co.za","A+","194.0","88.2","5' 10"","177","","","","1Z 272 577 03 9272 509 8","9431497487","59211171","bc2c13dc-cfd6-4502-bad5-2d4bf7a4ea94","-30.52912","29.39449",""
"40558","","","","","","","","","","","","","","","","","","085 810 3982","27","Neumann","5/25/1958","Gemini","Visa","4485796152097209","498","2/2020","Red","Groomer","Matrix Design","2008 Daewoo Tocsa","BackupContact.co.za","B+","177.3","80.6","5' 9"","174","","","","1Z 518 024 88 2674 329 2","0474249501","17355067","ceb5664e-20ea-41f8-993b-26ca50a79388","-25.615547","28.293367",""
"40559","","","","","","","","","","","","","","","","","","085 786 0670","27","Lombardo","2/3/1982","Aquarius","Visa","4916896894187919","827","8/2017","Red","Range scientist","Mr. Clark's Appliances","2011 Daihatsu Sirion","ByeMedia.co.za","A+","219.1","99.6","5' 10"","177","","","","1Z 225 267 11 3344 858 5","4708629320","08271037","066329bd-4d42-4bf0-97ef-5579f2f84cf2","-28.000899","26.706123",""
"40560","","","","","","","","","","","","","","","","","","083 940 2964","27","Piazza","6/28/1969","Cancer","MasterCard","5430073092354501","163","1/2017","Blue","Metalworking machine operator","FamilyMart","1994 Beijing BJ 2020","DUIRepresentative.co.za","O+","147.4","67.0","5' 6"","167","","","","1Z Y74 088 87 2763 174 4","1587886721","37811665","93a7dce3-461f-44f3-b897-cfc62b815c15","-33.98442","18.339334",""
"40561","","","","","","","","","","","","","","","","","","082 368 4186","27","Goddard","9/29/1974","Libra","MasterCard","5320668816285452","018","10/2018","Blue","Sketch artist","Leo's Stereo","2000 BMW Z9","GeekDvds.co.za","O+","247.1","112.3","5' 10"","177","","","","1Z 469 827 14 6376 149 0","7811916801","23506770","8a7186e7-2a05-4950-bfb8-1bec6bdd55e0","-25.027373","29.256905",""
"40562","","","","","","","","","","","","","","","","","","084 257 6072","27","Haraguchi","8/27/1988","Virgo","Visa","4532171260985054","162","10/2017","Red","Benefits administrator","Egghead Software","2007 Jaguar S-Type","WirelessMale.co.za","A+","222.0","100.9","5' 10"","177","","","","1Z 07A 791 18 6971 280 5","6529803131","57546489","a7b1363d-e683-4778-8cca-b6d42f0bfab7","-25.409625","26.469547",""
"40563","","","","","","","","","","","","","","","","","","085 336 5829","27","Grant","8/21/1982","Leo","MasterCard","5449210274146425","979","8/2018","Blue","Record clerk","Buehler Foods","1994 Citroen XM","TerroristInfo.co.za","AB+","239.6","108.9","5' 9"","174","","","","1Z 7V4 279 47 7822 511 5","3501437334","56864964","a26a7536-373f-4fcb-b7fd-a22096f2ae88","-32.996872","27.849759",""
"40564","","","","","","","","","","","","","","","","","","085 804 4020","27","Oguejiofor","11/8/1955","Scorpio","Visa","4556539848938285","417","5/2017","Blue","Letterpress operator","Mission Realty","2004 Cadillac XLR","FinancingTaxes.co.za","B+","209.4","95.2","6' 0"","182","","","","1Z W66 572 15 7292 830 0","4706351985","75233642","2b639e8c-2038-406e-b7b5-e8b8678e9af1","-26.082515","28.978667",""
"40565","","","","","","","","","","","","","","","","","","085 575 6428","27","Mewael","10/15/1981","Libra","Visa","4929746657585798","172","6/2016","Blue","Sports competitor","Weathervane","2010 Mazda MX-5 Miata","YellowShoppers.co.za","O+","240.5","109.3","5' 6"","168","","","","1Z 439 314 22 5767 501 0","1859823558","67662523","a3d0e737-96af-4c82-b89d-c55fad0a58f5","-23.839599","29.772839",""
"40566","","","","","","","","","","","","","","","","","","084 851 5709","27","Battle","9/5/1978","Virgo","Visa","4539376312530484","533","5/2018","Blue","Neonatal nurse","Maurice The Pants Man","2003 Honda Civic","CreditCurse.co.za","A+","200.6","91.2","6' 0"","183","","","","1Z 135 34Y 31 8611 071 8","6347084231","74109806","92ff2939-6c3d-4b89-9580-9ff35cafae0c","-33.835009","18.380868",""
"40567","","","","","","","","","","","","","","","","","","083 612 0910","27","Genovese","10/7/1965","Libra","Visa","4929295554764494","173","12/2019","Red","U.S. deputy marshal","Baltimore Markets","2000 Daewoo Rezzo","BenchMats.co.za","O+","150.3","68.3","5' 5"","164","","","","1Z 189 V83 69 9231 450 6","0305143338","27175048","118e7757-6484-4df3-bc1a-4de8e0dbc09c","-25.790202","28.311314",""
"40568","","","","","","","","","","","","","","","","","","082 555 9201","27","Bisrat","8/20/1987","Leo","MasterCard","5526719692565186","321","10/2019","Blue","Sociologist","Quality Merchant Services","2000 Chrysler 300","MortgageCulture.co.za","AB+","133.3","60.6","5' 7"","169","","","","1Z 7A9 607 92 5224 657 4","1431121602","87725725","453c834f-c940-41b6-ad49-ba5975e8df77","-29.306593","31.251451",""
"40569","","","","","","","","","","","","","","","","","","084 857 6207","27","Zinachidi","8/31/1962","Virgo","Visa","4716184480324093","552","10/2016","Blue","Forging machine setter","Forest City","1998 Rover 600","CaravanLiving.co.za","O+","207.0","94.1","6' 0"","182","","","","1Z 110 Y40 14 4677 477 3","1460752971","37154863","eb1b04bb-8f84-40fd-9faa-0faa184a2123","-27.729162","30.755793",""
"40570","","","","","","","","","","","","","","","","","","084 125 4956","27","Hanlon","12/30/1972","Capricorn","MasterCard","5236482963953067","171","2/2019","Blue","Tilesetter","Best Products","2012 Volkswagen Tiguan","Blogvite.co.za","O+","229.5","104.3","6' 0"","184","","","","1Z 553 152 62 1309 789 0","6216578828","92290788","7aef4d2b-204e-4a5c-9957-af1650cb9281","-32.857545","26.907368",""
